grafana  | logger=migrator t=2025-05-19T16:50:40.823997796Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=142.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.824808838Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.82497538Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=166.375µs
grafana  | logger=migrator t=2025-05-19T16:50:40.82718538Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.828265505Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=1.080125ms
grafana  | logger=migrator t=2025-05-19T16:50:40.830341796Z level=info msg="Executing migration" id="create temp_user v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.830595171Z level=info msg="Migration successfully executed" id="create temp_user v2" duration=253.292µs
grafana  | logger=migrator t=2025-05-19T16:50:40.83135663Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.83152613Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v2" duration=169.583µs
grafana  | logger=migrator t=2025-05-19T16:50:40.832441713Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.83262088Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v2" duration=179.125µs
grafana  | logger=migrator t=2025-05-19T16:50:40.833543505Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.833720838Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v2" duration=177.333µs
grafana  | logger=migrator t=2025-05-19T16:50:40.835675755Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.835844255Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v2" duration=168.375µs
grafana  | logger=migrator t=2025-05-19T16:50:40.836846838Z level=info msg="Executing migration" id="copy temp_user v1 to v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.836953713Z level=info msg="Migration successfully executed" id="copy temp_user v1 to v2" duration=105.458µs
grafana  | logger=migrator t=2025-05-19T16:50:40.837809796Z level=info msg="Executing migration" id="drop temp_user_tmp_qwerty"
grafana  | logger=migrator t=2025-05-19T16:50:40.837955421Z level=info msg="Migration successfully executed" id="drop temp_user_tmp_qwerty" duration=145.334µs
grafana  | logger=migrator t=2025-05-19T16:50:40.840268713Z level=info msg="Executing migration" id="Set created for temp users that will otherwise prematurely expire"
grafana  | logger=migrator t=2025-05-19T16:50:40.84077888Z level=info msg="Migration successfully executed" id="Set created for temp users that will otherwise prematurely expire" duration=510.083µs
grafana  | logger=migrator t=2025-05-19T16:50:40.841718171Z level=info msg="Executing migration" id="create star table"
grafana  | logger=migrator t=2025-05-19T16:50:40.841901005Z level=info msg="Migration successfully executed" id="create star table" duration=182.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.842994755Z level=info msg="Executing migration" id="add unique index star.user_id_dashboard_id"
grafana  | logger=migrator t=2025-05-19T16:50:40.843170671Z level=info msg="Migration successfully executed" id="add unique index star.user_id_dashboard_id" duration=175.917µs
grafana  | logger=migrator t=2025-05-19T16:50:40.844838755Z level=info msg="Executing migration" id="Add column dashboard_uid in star"
grafana  | logger=migrator t=2025-05-19T16:50:40.845270713Z level=info msg="Migration successfully executed" id="Add column dashboard_uid in star" duration=432.25µs
grafana  | logger=migrator t=2025-05-19T16:50:40.848000838Z level=info msg="Executing migration" id="Add column org_id in star"
grafana  | logger=migrator t=2025-05-19T16:50:40.84843238Z level=info msg="Migration successfully executed" id="Add column org_id in star" duration=431.375µs
grafana  | logger=migrator t=2025-05-19T16:50:40.84969488Z level=info msg="Executing migration" id="Add column updated in star"
grafana  | logger=migrator t=2025-05-19T16:50:40.850116588Z level=info msg="Migration successfully executed" id="Add column updated in star" duration=421.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.851089005Z level=info msg="Executing migration" id="add index in star table on dashboard_uid, org_id and user_id columns"
grafana  | logger=migrator t=2025-05-19T16:50:40.851272088Z level=info msg="Migration successfully executed" id="add index in star table on dashboard_uid, org_id and user_id columns" duration=183.209µs
grafana  | logger=migrator t=2025-05-19T16:50:40.85512863Z level=info msg="Executing migration" id="create org table v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.855330505Z level=info msg="Migration successfully executed" id="create org table v1" duration=202µs
grafana  | logger=migrator t=2025-05-19T16:50:40.857910755Z level=info msg="Executing migration" id="create index UQE_org_name - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.85807363Z level=info msg="Migration successfully executed" id="create index UQE_org_name - v1" duration=162.875µs
grafana  | logger=migrator t=2025-05-19T16:50:40.859532671Z level=info msg="Executing migration" id="create org_user table v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.859715046Z level=info msg="Migration successfully executed" id="create org_user table v1" duration=182.458µs
grafana  | logger=migrator t=2025-05-19T16:50:40.86059038Z level=info msg="Executing migration" id="create index IDX_org_user_org_id - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.860763213Z level=info msg="Migration successfully executed" id="create index IDX_org_user_org_id - v1" duration=172.75µs
grafana  | logger=migrator t=2025-05-19T16:50:40.861905463Z level=info msg="Executing migration" id="create index UQE_org_user_org_id_user_id - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.86213838Z level=info msg="Migration successfully executed" id="create index UQE_org_user_org_id_user_id - v1" duration=232.667µs
grafana  | logger=migrator t=2025-05-19T16:50:40.866204213Z level=info msg="Executing migration" id="create index IDX_org_user_user_id - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.866533463Z level=info msg="Migration successfully executed" id="create index IDX_org_user_user_id - v1" duration=329.083µs
grafana  | logger=migrator t=2025-05-19T16:50:40.867756546Z level=info msg="Executing migration" id="Update org table charset"
grafana  | logger=migrator t=2025-05-19T16:50:40.86776488Z level=info msg="Migration successfully executed" id="Update org table charset" duration=8.5µs
grafana  | logger=migrator t=2025-05-19T16:50:40.868741963Z level=info msg="Executing migration" id="Update org_user table charset"
grafana  | logger=migrator t=2025-05-19T16:50:40.868750963Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=9.125µs
grafana  | logger=migrator t=2025-05-19T16:50:40.875390755Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
grafana  | logger=migrator t=2025-05-19T16:50:40.875635671Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=245.916µs
grafana  | logger=migrator t=2025-05-19T16:50:40.87759813Z level=info msg="Executing migration" id="create dashboard table"
